,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
12,8409500006,ALASKA SEALIFE CENTER,ALASKA SEALIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664.0,9072246300,60.20885,-149.38716,4.0,122.0,2.0,6,,,,
109,8400200167,OCEANSALASKA,OCEANSALASKA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 6383,KETCHIKAN,AK,99901,2417 TONGASS AVENUE,KETCHIKAN,AK,99901.0,9072257900,55.35076,-131.67274,3.0,130.0,2.0,6,943194998,201212.0,892091.0,534898.0
125,8400200126,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ALASKA SEALIFE CENTERPO,SEWARD,AK,99664,301 RAILWAY AVE,SEWARD,AK,99664.0,9072246300,60.20885,-149.38716,4.0,122.0,2.0,6,920132479,201309.0,9601562.0,9469200.0
205,8400100279,ALABAMA WILDLIFE CENTER,ALABAMA WILDLIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 TERRACE DR,PELHAM,AL,35124,,,,,2056637930,33.32452,-86.79516,2.0,117.0,1.0,3,630813173,201312.0,463192.0,440703.0
220,8400100374,ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,ANIMAL HOUSE EXOTIC ANIMALS,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2056 COUNTY ROAD 161,MOULTON,AL,35650,,,,,2569748634,34.53421,-87.38741,4.0,79.0,1.0,3,631161613,,,
703,8400500305,COVENANT FARM,COVENANT FARM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,906 W LOUISIANA,BEEBE,AR,72012,,,,,,35.07389,-91.89314,3.0,145.0,5.0,3,861158055,201412.0,0.0,0.0
970,8400400088,ARIZONA FOLKLORE PRESERVE,ARIZONA FOLKLORE PRESERVE INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,44 E RAMSEY CANYON RD,HEREFORD,AZ,85615,,,,,5203786165,33.59475,-111.9792,1.0,13.0,4.0,6,860670641,201407.0,33375.0,33375.0
1018,8400400238,CABEZA PRIETA NATIONAL WILD LIFE REFUGE,CABEZA PRIETA NATURAL HISTORY ASSOCIATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 234,AJO,AZ,85321,,,,,5203876483,32.39747,-112.87213,3.0,19.0,4.0,6,731687944,201409.0,0.0,0.0
1035,8409500037,CENTER FOR NATIVE AND URBAN WILDLIFE,CENTER FOR NATIVE AND URBAN WILDLIFE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",SCOTTSDALE COMMUNITY COLLEGE,9000 EAST CHAPARRAL ROAD,SCOTTSDALE,AZ,85256,,,,,4804236000,33.50945,-111.8811,4.0,13.0,4.0,6,860185552,,,
1236,8400400107,PHOENIX HERPETOLOGICAL SOCIETY,PHOENIX HERPETOLOGICAL SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,20701 N SCOTTSDALE RD,SCOTTSDALE,AZ,85255,,,,,,33.67597,-111.88119,1.0,13.0,4.0,6,20678512,201312.0,361962.0,353795.0
1255,8400400035,PRESCOTT ANIMAL PARK,PRESCOTT ANIMAL PARK ASSOCIATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1403 HERITAGE PARK ROAD,PRESCOTT,AZ,86301,1403 HERITAGE PARK ROAD,PRESCOTT,AZ,86301.0,9287784242,34.61475,-112.4455,4.0,25.0,4.0,6,860549101,201312.0,450155.0,450155.0
1277,8400400427,RUNNIN W WILDLIFE CENTER,RUNNIN W WILDLIFE CENTER INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 980,CORNVILLE,AZ,86325,,,,,,34.72331,-111.9241,4.0,25.0,4.0,6,860977121,201312.0,14700.0,
1313,8400400389,SONORAN SEA AQUARIUM,SONORAN SEA AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1805 S CEYLON PL,TUCSON,AZ,85748,,,,,,32.19934,-110.77773,1.0,19.0,4.0,6,860792803,201012.0,0.0,0.0
1498,8409500010,AQUARIUM OF THE BAY,AQUARIUM OF THE BAY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133.0,4156235300,37.80032,-122.4104,2.0,75.0,6.0,6,,,,
1499,8400601268,AQUARIUM OF THE PACIFIC,AQUARIUM OF THE PACIFIC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 AQUARIUM WAY,LONG BEACH,CA,90802,,,,,5625903100,33.76322,-118.19669,1.0,37.0,6.0,6,330532354,201312.0,38286191.0,33641453.0
1675,8400600622,CABRILLO MARINE AQUARIUM,FRIENDS OF CABRILLO MARINE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3720 STEPHEN WHITE DRIVE,SAN PEDRO,CA,90731,,,,,2135487563,33.71058,-118.28595,1.0,37.0,6.0,6,330585381,201406.0,1109599.0,980785.0
1806,8400601973,CENTRAL COAST AQUARIUM SOCIETY,CENTRAL COAST AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1435 SHELL BEACH ROAD,SHELL BEACH,CA,93449,,,,,8057732439,35.15758,-120.67246,2.0,79.0,6.0,6,770372604,201212.0,0.0,0.0
1822,8409400100,CHANNEL ISLANDS NATIONAL MARINE SANCTUARY,CHANNEL ISLANDS NATIONAL MARINE SANCTUARY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1901 SPINNAKER DR,VENTURA,CA,93001,,,,,,34.24765,-119.26675,1.0,111.0,6.0,6,,,,
1899,8409400124,COASTAL DISCOVERY CENTER AT SAN SIMEON BAY,COASTAL DISCOVERY CENTER AT SAN SIMEON BAY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,750 HEARST CASTLE RD,SAN SIMEON,CA,93452,,,,,8059272145,35.70203,-121.11399,4.0,79.0,6.0,6,,,,
2002,8400600459,DI ROSA PRESERVE: ART & NATURE,DI ROSA PRESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,5200 CARNEROS HIGHWAY,NAPA,CA,94559,,,,,7072265991,38.25646,-122.35062,4.0,55.0,6.0,6,943367956,201312.0,1250579.0,1105207.0
2086,8409400157,ELKHORN SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,ELKHORN SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,ELKHORN,CA,95039,,,,,,,,,,6.0,6,,,,
2466,8409500017,INSTITUTION OF OCEANOGRAPHY,BIRCH AQUARIUM AT SCRIPPS INSTITUTION OF OCEANOGRAPHY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2300 EXPEDITION WAY,LA JOLLA,CA,92037,2300 EXPEDITION WAY,LA JOLLA,CA,92037.0,8585344109,32.84349,-117.25774,1.0,,6.0,6,,,,
2480,8400601308,INTERNATIONAL WILDLIFE CARVERS ASSOCIATION,INTERNATIONAL WILDLIFE CARVERS ASSOCIATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,6442 EL PASEO ST,LONGBEACH,CA,90815,,,,,5624314003,33.79423,-118.10627,1.0,37.0,6.0,6,330683369,201407.0,0.0,0.0
2734,8400602889,MARINE AQUARIUM SOCIETY OF LOS ANGELES COUNTY,MARINE AQUARIUM SOCIETY OF LOS ANGELES COUNTY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,13620 B SHERMAN WAY,VAN NUYS,CA,91405,,,,,,34.2011,-118.42975,1.0,37.0,6.0,6,954831055,,,
2737,8400601553,MARINE MAMMAL CENTER,MARINE MAMMAL CENTER,MARINE MAMMAL CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2000 BUNKER ROAD FORT C,SAUSALITO,CA,95000,,,,,4152897325,37.86264,-122.49982,2.0,,6.0,6,510144434,201309.0,10278218.0,9448577.0
2738,8400600279,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ORANGE COAST COLLEGE 2701 FAIRVIEW ROAD,COSTA MESA,CA,92628,,,,,,33.67324,-117.92329,1.0,,6.0,6,,,,
2739,8409500110,MARINE WILDLIFE VETERINARY CARE AND RESEARCH CENTER,REGENTS OF THE UNIVERSITY OF CALIFORNIA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","UNIVERSITY OF CALIFORNIA, SANTA CRUZ",110 SHAFFER ROAD,SANTA CRUZ,CA,95060,,,,,8314593800,36.97755,-122.05583,1.0,87.0,6.0,6,941539563,,,
2740,8400602324,MARINE WORLD AFRICA USA,MARINE WORLD AFRICA USA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2001 MARINE WORLD PKWY,VALLEJO,CA,94589,,,,,,38.13365,-122.22965,1.0,95.0,6.0,6,942674934,,,
2840,8400602286,MONTEREY BAY AQUARIUM,MONTEREY BAY AQUARIUM FOUNDATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,886 CANNERY ROW,MONTEREY,CA,93940,,,,,8316484800,36.61784,-121.90177,2.0,53.0,6.0,6,942487469,201312.0,137491679.0,86558017.0
2841,8409400381,MONTEREY BAY NATIONAL MARINE SANCTUARY - SANCTUARY EXPLORATION CENTER,MONTEREY BAY NATIONAL MARINE SANCTUARY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,35 PACIFIC AVE.,SANTA CRUZ,CA,95060,,,,,831421993,36.9664,-122.01867,1.0,87.0,6.0,6,,,,
3118,8409400536,OUTREACH CENTER FOR TEACHING OCEAN SCIENCE,UNIVERSITY OF CALIFORNIA SANTA BARBARA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1901 SPINNAKER DR,VENTURA,CA,93001,,,,,,34.24765,-119.26675,1.0,111.0,6.0,6,,,,
3429,8400602130,SAFARI WEST WILDLIFE PRESERVE,SAFARI WEST WILDLIFE FOUNDATION,SAFARI WEST WILDLIFE FOUNDATION,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3115 PORTER CREEK RD,SANTA ROSA,CA,95404,,,,,7075792551,38.55575,-122.69616,4.0,97.0,6.0,6,911837240,201312.0,180691.0,180691.0
3463,8400601007,SAN DIEGO MARINE AQUARIUM SOCIETY,SAN DIEGO MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,8488 SPRECKELS LANE,SAN DIEGO,CA,92127,,,,,,32.78258,-117.09198,1.0,73.0,6.0,6,262705836,201412.0,0.0,0.0
3482,8400602215,SAN FRANCISCO AQUARIUM SOCIETY,SAN FRANCISCO AQUARIUM SOCIETY INC CALIFORNIA ACADEMY OF SC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 282040,SAN FRANCISCO,CA,94128,38 FORT MASON,SAN FRANCISCO,CA,94128.0,4159351923,37.80358,-122.42854,1.0,75.0,6.0,6,941437731,201312.0,0.0,0.0
3612,8409500184,SEAWORLD SAN DIEGO,SEAWORLD SAN DIEGO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,500 SEAWORLD DRIVE,SAN DIEGO,CA,92109,500 SEAWORLD DRIVE,SAN DIEGO,CA,92109.0,6192226363,32.76104,-117.22195,1.0,73.0,6.0,6,,,,
3734,8409500194,STEINHART AQUARIUM,STEINHART AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118.0,4153795445,37.77025,-122.46932,1.0,75.0,6.0,6,,,,
3807,8409400660,TIJUANA RIVER NATIONAL ESTUARINE RESEARCH RESERVE,TIJUANA RIVER NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 CASPAIN WAY,IMPERIAL BEACH,CA,91932,,,,,,32.57564,-117.12738,2.0,73.0,6.0,6,,,,
4131,8409500028,BUTTERFLY PAVILION,BUTTERFLY PAVILION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,6252 W 104TH AVE,WESTMINSTER,CO,80020,6252 W 104TH AVE,WESTMINSTER,CO,80020.0,,39.88698,-105.06666,2.0,59.0,8.0,5,,,,
4166,8400800671,COLORADO AQUARIUM SOCIETY,COLORADO AQUARIUM SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1253,ARVADA,CO,80001,,,,,3036598084,39.80303,-105.08621,2.0,59.0,8.0,5,846038359,201412.0,0.0,0.0
4429,8409500099,LANDRY'S DOWNTOWN AQUARIUM - DENVER,LANDRY'S DOWNTOWN AQUARIUM - DENVER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,700 WATER STREET,DENVER,CO,80211,700 WATER STREET,DENVER,CO,80211.0,3035614450,39.75245,-105.01206,1.0,31.0,8.0,5,,,,
4615,8400800378,SAN LUIS VALLEY NATIONAL WILDLIFE REFUGES,FRIENDS OF THE SAN LUIS VALLEY NATIONAL WILDLIFE REFUGES CO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 857,MONTE VISTA,CO,81144,,,,,,37.57631,-106.13976,3.0,105.0,8.0,5,742740115,201412.0,0.0,0.0
4691,8409500223,WILDLIFE EXPERIENCE,REGENTS OF THE UNIVERSITY OF COLORADO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",UNIVERSITY OF COLORADO DENVER,10035 PEORIA ST ï¿½,PARKER,CO,80134,,,,,7204883305,39.74526,-104.98321,4.0,31.0,8.0,5,846000555,201306.0,,
4714,8400900233,ACTION WILDLIFE FOUNDATION,ACTION WILDLIFE FOUNDATION INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,43 NORFOLK ST,TORRINGTON,CT,6790,337 TORRINGTON ROAD (RT 4),TORRINGTON,CT,6790.0,8604919191,41.8144,-73.11518,3.0,,9.0,1,61401697,201406.0,238455.0,
5008,8400900187,MARITIME AQUARIUM AT NORWALK,THE MARITIME AQUARIUM AT NORWALK INC,MARITIME AQUARIUM AT NORWALK,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,10 N WATER ST,SOUTH NORWALK,CT,6854,10 N WATER ST,NORWALK,CT,6854.0,2038520700,41.10084,-73.41659,1.0,1.0,9.0,1,61062912,201306.0,11074827.0,10386911.0
5044,8409500123,MYSTIC AQUARIUM,MYSTIC AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,55 COOGAN BLVD,MYSTIC,CT,6355,55 COOGAN BLVD,MYSTIC,CT,6355.0,8605725955,41.37369,-71.95821,2.0,11.0,9.0,1,,,,
5478,8409400143,DELAWARE NATIONAL ESTUARINE RESEARCH RESERVE,DELAWARE NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,DOVER,DE,19901,,,,,,,,,,10.0,2,,,,
5532,8401000061,MILFORD AQUARIUM,MILFORD AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1198,MILFORD,DE,19963,,,,,,38.91273,-75.47021,3.0,5.0,10.0,2,454884615,201406.0,0.0,0.0
5609,8401201033,ANIMAL PARK,ANIMAL PARK INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,5701 GULF BREEZE PKWY,GULF BREEZE,FL,32563,,,,,8509322229,30.40113,-86.98953,2.0,113.0,12.0,3,593653239,,,
5617,8409400050,APALACHICOLA NATIONAL ESTUARINE RESEARCH RESERVE,APALACHICOLA NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,EAST POINT,FL,32328,,,,,,,,,,12.0,3,,,,
5664,8401201190,BIG CAT HABITAT GULF COAST SANCTUARY,BIG CAT HABITAT GULF COAST SANCTUARY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 7101,SARASOTA,FL,34240,7101 PALMER BLVD,SARASOTA,FL,34240.0,9413716377,27.32478,-82.4282,4.0,115.0,12.0,3,650659177,201312.0,810186.0,669879.0
5759,8401200766,CLEARWATER MARINE AQUARIUM,CLEARWATER MARINE AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,249 WINDWARD PASSAGE,CLEARWATER,FL,33767,,,,,7274411790,27.97964,-82.8107,1.0,103.0,12.0,3,592086737,201309.0,15756478.0,13856134.0
5774,8401201206,COMMUNITY CASE MANAGEMENT,COMMUNITY CASE MANAGEMENT INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,99 NW 183RD ST STE 118,MIAMI,FL,33169,,,,,3056534030,25.94352,-80.20367,2.0,86.0,12.0,3,650797196,201312.0,131944.0,131944.0
5807,8401200488,DAGGERWING NATURE CENTER,FRIENDS OF DAGGERWING NATURE CENTER INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,9858 CLINT MOORE RD SUITE C111-131,BOCA RATON,FL,33496,11200 PARK ACCESS ROAD,BOCA RATON,FL,33496.0,5616298760,26.37838,-80.22538,2.0,99.0,12.0,3,271465956,201412.0,0.0,0.0
5833,8409500060,DISNEY'S ANIMAL KINGDOM,DISNEY'S ANIMAL KINGDOM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1316 N BEAR ISLAND ROAD,LAKE BUENA VISTA,FL,32830,1316 N BEAR ISLAND ROAD,LAKE BUENA VISTA,FL,32830.0,4079392468,28.38311,-81.53743,4.0,,12.0,3,,,,
5892,8401200858,FLORIDA AQUARIUM,FLORIDA AQUARIUM INC,FLORIDA AQUARIUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,701 CHANNELSIDE DR,TAMPA,FL,33602,,,,,8132734000,27.94344,-82.44854,1.0,57.0,12.0,3,592807815,201309.0,19149841.0,15736020.0
5902,8409400175,FLORIDA KEYS ECO-DISCOVERY CENTER,FLORIDA KEYS ECO-DISCOVERY CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,35 E QUAY ROAD,KEY WEST,FL,33040,,,,,3058094750,24.55639,-81.8028,3.0,87.0,12.0,3,,,,
5904,8409400176,FLORIDA KEYS NATIONAL MARINE SANCTUARY,FLORIDA KEYS NATIONAL MARINE SANCTUARY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,35 E QUAY ROAD,KEY WEST,FL,33040,,,,,3058094750,24.55639,-81.8028,3.0,87.0,12.0,3,,,,
5917,8401200847,FLORIDA STATE COLLECTION OF ARTHROPODS,CENTER FOR SYSTEMATIC ENTOMOLOGY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 147100,GAINESVILLE,FL,32614,P O BOX 141874,GAINESVILLE,FL,32614.0,,29.61297,-82.37195,1.0,1.0,12.0,3,592740566,201312.0,0.0,0.0
5929,8401201288,FORT CAROLINE NATIONAL MEMORIAL TIMUCUAN ECOLOGICAL & HISTORIC PRESERVE NATIONAL PARK,FORT CAROLINE NATIONAL MEMORIAL TIMUCUAN ECOLOGICAL & HISTORIC PRESERVE NATIONAL PARK,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,13165 MT PLEASANT ROAD,JACKSONVILLE,FL,32225,12713 FORT CAROLINE ROAD,JACKSONVILLE,FL,32225.0,,30.37946,-81.50248,1.0,31.0,12.0,3,,,,
5969,8401200423,GOLD COAST AQUARIUM SOCIETY OF SOUTH FLORIDA,GOLD COAST AQUARIUM SOCIETY OF SOUTH FLORIDA INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3186 N 34TH ST,HOLLYWOOD,FL,33021,,,,,,26.04092,-80.17338,2.0,11.0,12.0,3,260795845,,,
5994,8409400235,GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE,GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,505 GUANA RD,PONTE VEDRA BEACH,FL,32082,,,,,,30.19973,-81.38262,2.0,,12.0,3,,,,
6041,8401201062,HISTORIC CAT SANCTUARY OF KEY WEST,HISTORIC CAT SANCTUARY OF KEY WEST INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,704 EATON STREET,KEY WEST,FL,33040,,,,,3057977779,24.5587,-81.80053,3.0,87.0,12.0,3,593767510,,,
6134,8409500095,KATHARINE ORDWAY PRESERVE,UNIVERSITY OF FLORIDA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,,,,,,29.64282,-82.35029,4.0,1.0,12.0,3,596002052,201306.0,,
6147,8401201287,KINGSLEY PLANTATION TIMUCUAN ECOLOGICAL & HISTORIC PRESERVE NATIONAL PARK SERVICE,KINGSLEY PLANTATION TIMUCUAN ECOLOGICAL & HISTORIC PRESERVE NATIONAL PARK SERVICE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,11676 PALMETTO AVENUE,JACKSONVILLE,FL,32226,11676 PALMETTO AVENUE,JACKSONVILLE,FL,32226.0,9042513537,30.43911,-81.43771,2.0,31.0,12.0,3,,,,
